L1_Natal_house	L2_Natal_House	L3_Natal_House	L4_Natal_House	L1_Sign	L2_Sign	L3_Sign	L4_Sign	Month	Day	Year	Duration	LOB_Type
9	10	12	3	Gemini	Cancer	Virgo	Sagittarius	1	1	2025	624	
9	10	12	4	Gemini	Cancer	Virgo	Capricorn	1	1	2025	1836	
9	10	12	4	Gemini	Cancer	Virgo	Capricorn	1	2	2025	2400	
9	10	12	4	Gemini	Cancer	Virgo	Capricorn	1	3	2025	2400	
9	10	12	4	Gemini	Cancer	Virgo	Capricorn	1	4	2025	2400	
9	10	12	4	Gemini	Cancer	Virgo	Capricorn	1	5	2025	2400	
9	10	12	4	Gemini	Cancer	Virgo	Capricorn	1	6	2025	2124	
9	10	12	5	Gemini	Cancer	Virgo	Aquarius	1	6	2025	336	
9	10	12	5	Gemini	Cancer	Virgo	Aquarius	1	7	2025	2400	
9	10	12	5	Gemini	Cancer	Virgo	Aquarius	1	8	2025	2400	
9	10	12	5	Gemini	Cancer	Virgo	Aquarius	1	9	2025	2400	
9	10	12	5	Gemini	Cancer	Virgo	Aquarius	1	10	2025	2400	
9	10	12	5	Gemini	Cancer	Virgo	Aquarius	1	11	2025	2400	
9	10	12	5	Gemini	Cancer	Virgo	Aquarius	1	12	2025	2400	
9	10	12	5	Gemini	Cancer	Virgo	Aquarius	1	13	2025	324	
9	10	12	6	Gemini	Cancer	Virgo	Pisces	1	13	2025	2136	
9	10	12	6	Gemini	Cancer	Virgo	Pisces	1	14	2025	2400	
9	10	12	6	Gemini	Cancer	Virgo	Pisces	1	15	2025	1524	
9	10	12	7	Gemini	Cancer	Virgo	Aries	1	15	2025	936	
9	10	12	7	Gemini	Cancer	Virgo	Aries	1	16	2025	2400	
9	10	12	7	Gemini	Cancer	Virgo	Aries	1	17	2025	2400	
9	10	12	7	Gemini	Cancer	Virgo	Aries	1	18	2025	1824	
9	10	12	8	Gemini	Cancer	Virgo	Taurus	1	18	2025	636	
9	10	12	8	Gemini	Cancer	Virgo	Taurus	1	19	2025	2400	
9	10	12	8	Gemini	Cancer	Virgo	Taurus	1	20	2025	1024	
9	10	12	9	Gemini	Cancer	Virgo	Gemini	1	20	2025	1436	
9	10	12	9	Gemini	Cancer	Virgo	Gemini	1	21	2025	2400	
9	10	12	9	Gemini	Cancer	Virgo	Gemini	1	22	2025	2400	
9	10	12	9	Gemini	Cancer	Virgo	Gemini	1	23	2025	2400	
9	10	12	9	Gemini	Cancer	Virgo	Gemini	1	24	2025	1424	
9	10	12	10	Gemini	Cancer	Virgo	Cancer	1	24	2025	1036	
9	10	12	10	Gemini	Cancer	Virgo	Cancer	1	25	2025	2400	
9	10	12	10	Gemini	Cancer	Virgo	Cancer	1	26	2025	2400	
9	10	12	10	Gemini	Cancer	Virgo	Cancer	1	27	2025	2400	
9	10	12	10	Gemini	Cancer	Virgo	Cancer	1	28	2025	2400	
9	10	12	10	Gemini	Cancer	Virgo	Cancer	1	29	2025	1924	
9	10	12	11	Gemini	Cancer	Virgo	Leo	1	29	2025	536	
9	10	12	11	Gemini	Cancer	Virgo	Leo	1	30	2025	2400	
9	10	12	11	Gemini	Cancer	Virgo	Leo	1	31	2025	2400	
9	10	12	11	Gemini	Cancer	Virgo	Leo	2	1	2025	2400	
9	10	12	11	Gemini	Cancer	Virgo	Leo	2	2	2025	1824	
