L1_Natal_house	L2_Natal_House	L3_Natal_House	L4_Natal_House	L1_Sign	L2_Sign	L3_Sign	L4_Sign	Month	Day	Year	Duration	LOB_Type
10	12	12	5	Cancer	Virgo	Virgo	Aquarius	1	1	2025	2400	
10	12	12	5	Cancer	Virgo	Virgo	Aquarius	1	2	2025	2400	
10	12	12	5	Cancer	Virgo	Virgo	Aquarius	1	3	2025	2400	
10	12	12	5	Cancer	Virgo	Virgo	Aquarius	1	4	2025	2400	
10	12	12	5	Cancer	Virgo	Virgo	Aquarius	1	5	2025	1524	
10	12	12	6	Cancer	Virgo	Virgo	Pisces	1	5	2025	936	
10	12	12	6	Cancer	Virgo	Virgo	Pisces	1	6	2025	2400	
10	12	12	6	Cancer	Virgo	Virgo	Pisces	1	7	2025	2400	
10	12	12	6	Cancer	Virgo	Virgo	Pisces	1	8	2025	324	
10	12	12	7	Cancer	Virgo	Virgo	Aries	1	8	2025	2136	
10	12	12	7	Cancer	Virgo	Virgo	Aries	1	9	2025	2400	
10	12	12	7	Cancer	Virgo	Virgo	Aries	1	10	2025	2400	
10	12	12	7	Cancer	Virgo	Virgo	Aries	1	11	2025	624	
10	12	12	8	Cancer	Virgo	Virgo	Taurus	1	11	2025	1836	
10	12	12	8	Cancer	Virgo	Virgo	Taurus	1	12	2025	2224	
10	12	12	9	Cancer	Virgo	Virgo	Gemini	1	12	2025	236	
10	12	12	9	Cancer	Virgo	Virgo	Gemini	1	13	2025	2400	
10	12	12	9	Cancer	Virgo	Virgo	Gemini	1	14	2025	2400	
10	12	12	9	Cancer	Virgo	Virgo	Gemini	1	15	2025	2400	
10	12	12	9	Cancer	Virgo	Virgo	Gemini	1	16	2025	2400	
10	12	12	9	Cancer	Virgo	Virgo	Gemini	1	17	2025	224	
10	12	12	10	Cancer	Virgo	Virgo	Cancer	1	17	2025	2236	
10	12	12	10	Cancer	Virgo	Virgo	Cancer	1	18	2025	2400	
10	12	12	10	Cancer	Virgo	Virgo	Cancer	1	19	2025	2400	
10	12	12	10	Cancer	Virgo	Virgo	Cancer	1	20	2025	2400	
10	12	12	10	Cancer	Virgo	Virgo	Cancer	1	21	2025	2400	
10	12	12	10	Cancer	Virgo	Virgo	Cancer	1	22	2025	724	
10	12	12	11	Cancer	Virgo	Virgo	Leo	1	22	2025	1736	
10	12	12	11	Cancer	Virgo	Virgo	Leo	1	23	2025	2400	
10	12	12	11	Cancer	Virgo	Virgo	Leo	1	24	2025	2400	
10	12	12	11	Cancer	Virgo	Virgo	Leo	1	25	2025	2400	
10	12	12	11	Cancer	Virgo	Virgo	Leo	1	26	2025	624	
10	12	6	6	Cancer	Virgo	Pisces	Pisces	1	26	2025	1836	MN_LB
10	12	6	6	Cancer	Virgo	Pisces	Pisces	1	27	2025	2400	MN_LB
10	12	6	6	Cancer	Virgo	Pisces	Pisces	1	28	2025	1824	MN_LB
10	12	6	7	Cancer	Virgo	Pisces	Aries	1	28	2025	636	MN_LB
10	12	6	7	Cancer	Virgo	Pisces	Aries	1	29	2025	2400	MN_LB
10	12	6	7	Cancer	Virgo	Pisces	Aries	1	30	2025	2400	MN_LB
10	12	6	7	Cancer	Virgo	Pisces	Aries	1	31	2025	2124	MN_LB
10	12	6	8	Cancer	Virgo	Pisces	Taurus	1	31	2025	336	MN_LB
10	12	6	8	Cancer	Virgo	Pisces	Taurus	2	1	2025	724	MN_LB
10	12	1	1	Cancer	Virgo	Libra	Libra	2	1	2025	1736	
10	12	1	1	Cancer	Virgo	Libra	Libra	2	2	2025	2324	
10	12	1	2	Cancer	Virgo	Libra	Scorpio	2	2	2025	136	
10	12	1	2	Cancer	Virgo	Libra	Scorpio	2	3	2025	2400	
10	12	1	2	Cancer	Virgo	Libra	Scorpio	2	4	2025	2400	
10	12	1	2	Cancer	Virgo	Libra	Scorpio	2	5	2025	2400	
10	12	1	2	Cancer	Virgo	Libra	Scorpio	2	6	2025	224	
10	12	1	3	Cancer	Virgo	Libra	Sagittarius	2	6	2025	2236	
10	12	1	3	Cancer	Virgo	Libra	Sagittarius	2	7	2025	2400	
10	12	1	3	Cancer	Virgo	Libra	Sagittarius	2	8	2025	1424	
10	12	1	4	Cancer	Virgo	Libra	Capricorn	2	8	2025	1036	
10	12	1	4	Cancer	Virgo	Libra	Capricorn	2	9	2025	2400	
10	12	1	4	Cancer	Virgo	Libra	Capricorn	2	10	2025	2400	
10	12	1	4	Cancer	Virgo	Libra	Capricorn	2	11	2025	2400	
10	12	1	4	Cancer	Virgo	Libra	Capricorn	2	12	2025	2400	
10	12	1	4	Cancer	Virgo	Libra	Capricorn	2	13	2025	2400	
10	12	1	4	Cancer	Virgo	Libra	Capricorn	2	14	2025	524	
10	12	1	5	Cancer	Virgo	Libra	Aquarius	2	14	2025	1936	
10	12	1	5	Cancer	Virgo	Libra	Aquarius	2	15	2025	2400	
10	12	1	5	Cancer	Virgo	Libra	Aquarius	2	16	2025	2400	
